start	end	text
349	8179	20 years ago, I didn't have a phone or, you know, 20, well, 24 years ago, I didn't have a phone and I was fine.
8239	9020	Everybody was fine.
9080	10021	And then happy you were.
10041	11122	You were so successful.
11142	12063	It was happy.
12103	15668	And then it was only 15 years ago that I didn't have a smartphone.
15688	16489	I had a flip phone.
16989	17690	That was fine.
17710	18631	I was fine with that.
19732	40431	But ever since I had ever since I had a smartphone, you know But nowadays I got you go you know three hours without a smartphone and the whole thing goes to shit Jason the world changed a little too John I mean it did but you know I can understand like like last year Jason Finn asked me to go to a baseball game and On my way there.
40471	43133	I was on the train on the way to the baseball stadium.
43194	44535	I realized I didn't have my phone
44915	45877	Did I tell you this story?
46117	46317	No.
46438	51646	I end up at the baseball stadium, and you know, on my phone should be my ticket.
52187	52307	Oh!
52367	55393	And I should also be calling Jason to tell him where I am.
55413	57656	Did you get tickets on your phone 24 years ago, John?
58508	70477	Couldn't do it 24 couldn't do it even 15 you couldn't record it No, it was in my Apple wallet and I was gonna walk up and bloop it and then I would have texted him and he would be standing on the other side of the gate Or he would have met me out by the Ken Griffey.
71058	80885	Well, I get there I got neither thing and I'm standing there thinking well He's gonna come out of the stadium and maybe he'll think that I'll be at the Ken Griffey.
80925	81806	He'll come looking for me
82588	83648	Well, I waited and waited.
83708	88631	And then, of course, I remember, oh, no, Jason will, he won't come looking for me.
88691	94893	He'll sit in the, in the great seats that he got for us and he'll stew and he'll brood.
95614	107339	Oh, because he's, see, see, now we got a drawing room French farce on our hands because there's been a misunderstanding and the nature of the misunderstanding is that you can't fix the misunderstanding soon.
107952	108332	That's right.
108372	112035	I'm I'm outside standing next to the thing the game has started.
112135	119200	He's in there stewing about the fact that I didn't come because that's consistent with what he thinks is my personality.
119960	121761	Oh, he didn't even come here.
122722	125684	And so I'm standing there by the Jersey barrier.
126805	134450	And I say I say to the nearest I say to the nearest guy.
134470	134790	Yeah.
135371	136852	Hey, hey, guy.
137679	138659	and he comes over what?
139200	142201	And I say, can I borrow your- I'm in town for a job interview.
142241	143141	I need $20 for gas.
143161	147823	I say, my alternator's broken and I hold up an alternator.
147843	149063	My daughter's in the trunk.
150164	156846	And I say, I say to the guy, look, there's a guy in there that's got tickets to the game.
157026	158067	I didn't bring my phone.
158927	162649	Can I use your phone to call my lady friend?
164079	170422	who has the only phone number I can remember in my head right now, who also will have... Where do you keep all the phone numbers, John?
170462	171182	Where do you keep them?
171902	173423	Do you only just memorize them?
173463	174964	No, I keep them on my phone.
175004	176904	I used to have them on a 3x5 card.
177004	179185	You didn't have your phone with you, though, did you?
179445	179866	No, I didn't.
179906	185488	I used to have a 3x5 card where I wrote all my friend's phone numbers down and then I laminated it with tape.
186508	190110	I put tape on both sides and then I put it in my chain wallet.
191041	198885	And any time I needed to call somebody from a phone booth or something, I would pull out my tape laminated three by five card.
198905	201366	I would look at their number and I would dial their phone number.
201946	203827	And that's how I would call them, but I don't have that anymore.
204807	207529	But I do have like four phone numbers, still memorized.
207609	211411	And one of them is this phone number belonging to my daughter's mother's.
211431	214152	If I ever need to call Empire carpeting, I'm good.
214172	218114	Because remember, service that one, that's five, eight, eight, two, 300.
219867	220287	Oh, that's right.
220907	221628	Empire.
221908	226789	Yeah, but then they put an 800 in front of it and it's, it did kind of jam that up.
226849	228550	Well, 800, five, eight, eight.
228950	230190	I also know J.G.
230211	232171	Wentworth can get me a structured settlement.
232311	232871	Uh-huh.
233212	238793	I don't know either of those guys because I, you know, that's like I've deleted that from my system folder a long time ago.
239113	241034	Their phone number is cash now, I think.
241474	243395	I don't even think it's recoverable, that stuff.
243840	252744	Oh, but but so so what I what I did was I called her and I said hey Will you text Jason Finn?
252764	254945	Sorry the Mariners fan will let you borrow his phone
255731	257511	Yeah, and he's not happy about it.
257571	259132	He's like... It kind of feels like a scam.
259612	259932	It does.
260132	264193	And he's like, so now this woman's phone number is gonna be in my phone?
264233	265853	How do I know she's not gonna call me?
266454	268054	And I'm like, look, she's a busy lady yet.
268074	268994	She's not interested in any of this.
269014	272035	If I had my phone, I'd show you a photo of her and you'd feel really dumb you just said that.
272075	274595	Yeah, if I had my phone, I could tell you all about it.
274635	276476	Your dreams you get a text from her.
277481	279382	So I say, and she says, okay, fine.
279442	284085	So I say, tell Jason I'm out by the Ken Griffey statue.
284605	289168	And she goes, okay, I don't know what any of this is, but you know, don't forget your phone.
289608	290388	No time to argue.
291269	294150	So I hand the phone back to the guy and I stand there.
294851	297212	And sure enough, five minutes later, here comes Jason.
297732	301875	He's, you know, he's not very impressed, but he does have the ticket on his phone.
302788	308692	And he gets me in and the rest of the day goes without a hitch and I think John, it's still, have you, has it occurred to you?
308752	309753	It's still required a phone.
310854	312175	It's just it was somebody else's phone.
312495	312955	That's right.
313055	314856	It required a phone, but, but you know what?
314936	315437	I was fine.
315597	321461	It didn't, you know, it took me an extra 15 minutes of wondering what I'm going to do, but I solved the problem.
